Disease,Diet
Fungal infection,"['Противогрибковая диета', 'Пробиотики', 'Чеснок', 'Кокосовое масло', 'Куркума']"
Allergy,"['Диета исключения', 'Продукты, богатые омега-3', 'Продукты, богатые витамином C', 'Продукты, содержащие кверцетин', 'Пробиотики']"
GERD,"['Низкокислотная диета', 'Продукты, богатые клетчаткой', 'Имбирь', 'Солодка', 'Сок алоэ вера']"
Chronic cholestasis,"['Низкожировая диета', 'Диета, богатая клетчаткой', 'Постные белки', 'Цельнозерновые продукты', 'Свежие фрукты и овощи']"
Drug Reaction,"['Антигистаминная диета', 'Продукты, богатые омега-3', 'Продукты, богатые витамином C', 'Продукты, содержащие кверцетин', 'Пробиотики']"
Peptic ulcer disease,"['Низкокислотная диета', 'Продукты, богатые клетчаткой', 'Имбирь', 'Солодка', 'Сок алоэ вера']"
AIDS,"['Сбалансированная диета', 'Продукты, богатые белком', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Полезные жиры']"
Diabetes,"['Низкогликемическая диета', 'Продукты, богатые клетчаткой', 'Постные белки', 'Полезные жиры', 'Нежирные молочные продукты']"
Gastroenteritis,"['Щадящая диета', 'Бананы', 'Рис', 'Яблочное пюре', 'Тосты']"
Bronchial Asthma,"['Противовоспалительная диета', 'Продукты, богатые омега-3', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Постные белки']"
Hypertension,"['Диета DASH', 'Низкосолевые продукты', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Постные белки']"
Migraine,"['Диета при мигрени', 'Низкотираминовая диета', 'Отказ от кофеина', 'Гидратация', 'Продукты, богатые магнием']"
Cervical spondylosis,"['Диета при артрите', 'Противовоспалительная диета', 'Продукты, богатые омега-3', 'Фрукты и овощи', 'Цельнозерновые продукты']"
Paralysis (brain hemorrhage),"['Сердечно-здоровая диета', 'Низкосолевые продукты', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Постные белки']"
Jaundice,"['Печеночная диета', 'Низкожировая диета', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Постные белки']"
Malaria,"['Диета при малярии', 'Гидратация', 'Высококалорийная диета', 'Щадящая пища', 'Растворы для пероральной регидратации']"
Chicken pox,"['Диета при ветряной оспе', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Dengue,"['Диета при денге', 'Гидратация', 'Высококалорийная диета', 'Щадящая пища', 'Продукты, богатые белком']"
Typhoid,"['Диета при тифе', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
hepatitis A,"['Диета при гепатите A', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Hepatitis B,"['Диета при гепатите B', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Hepatitis C,"['Диета при гепатите C', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Hepatitis D,"['Диета при гепатите D', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Hepatitis E,"['Диета при гепатите E', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Alcoholic hepatitis,"['Печеночная диета', 'Низкожировая диета', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Постные белки']"
Tuberculosis,"['Диета при туберкулезе', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Common Cold,"['Диета при простуде', 'Гидратация', 'Теплые напитки', 'Отдых', 'Чай с медом и лимоном']"
Pneumonia,"['Диета при пневмонии', 'Высококалорийная диета', 'Щадящая пища', 'Гидратация', 'Продукты, богатые белком']"
Dimorphic hemmorhoids(piles),"['Диета при геморрое', 'Диета, богатая клетчаткой', 'Гидратация', 'Теплые ванны', 'Смягчители стула']"
Heart attack,"['Сердечно-здоровая диета', 'Низкосолевые продукты', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Постные белки']"
Varicose veins,"['Диета при варикозе', 'Диета, богатая клетчаткой', 'Фрукты и овощи', 'Цельнозерновые продукты', 'Низкосолевые продукты']"
Hypothyroidism,"['Диета при гипотиреозе', 'Продукты, богатые йодом', 'Продукты, богатые селеном', 'Фрукты и овощи', 'Цельнозерновые продукты']"
