Disease, Medication
"Fungal infection,""['Противогрибковый крем', 'Флуконазол', 'Тербинафин', 'Клотримазол', 'Кетоконазол']"""
"Allergy,""['Антигистаминные препараты', 'Сосудосуживающие средства', 'Эпинефрин', 'Кортикостероиды', 'Иммунотерапия']"""
"GERD,""['Ингибиторы протонной помпы (ИПП)', 'Блокаторы H2-гистаминовых рецепторов', 'Антациды', 'Прокинетики', 'Антибиотики']"""
"Chronic cholestasis,""['Урсодезоксихолевая кислота', 'Холестирамин', 'Метотрексат', 'Кортикостероиды', 'Пересадка печени']"""
"Drug Reaction,""['Антигистаминные препараты', 'Эпинефрин', 'Кортикостероиды', 'Антибиотики', 'Противогрибковый крем']"""
"Peptic ulcer disease,""['Антибиотики', 'ИПП', 'Блокаторы H2', 'Антациды', 'Цитопротективные препараты']"""
"AIDS,""['Антиретровирусные препараты', 'Ингибиторы протеазы', 'Ингибиторы интегразы', 'Ингибиторы входа', 'Ингибиторы слияния']"""
"Diabetes,""['Инсулин', 'Метформин', 'Сульфонилмочевины', 'Ингибиторы DPP-4', 'Агонисты рецепторов GLP-1']"""
"Gastroenteritis,""['Антибиотики', 'Противорвотные препараты', 'Противодиарейные препараты', 'Внутривенные жидкости', 'Пробиотики']"""
"Bronchial Asthma,""['Бронходилататоры', 'Ингаляционные кортикостероиды', 'Ингибиторы лейкотриенов', 'Стабилизаторы тучных клеток', 'Антихолинергики']"""
"Hypertension,""['Антигипертензивные препараты', 'Диуретики', 'Бета-блокаторы', 'Ингибиторы АПФ', 'Блокаторы кальциевых каналов']"""
"Migraine,""['Обезболивающие препараты', 'Триптаны', 'Производные эрготамина', 'Профилактические препараты', 'Биологическая обратная связь']"""
"Cervical spondylosis,""['Обезболивающие', 'Миорелаксанты', 'Физиотерапия', 'Шейные воротники', 'Кортикостероиды']"""
"Paralysis (brain hemorrhage),""['Антикоагулянты', 'Препараты для растворения тромбов', 'Противосудорожные препараты', 'Физиотерапия', 'Эрготерапия']"""
"Jaundice,""['Внутривенные жидкости', 'Переливание крови', 'Пересадка печени', 'Препараты от зуда', 'Противовирусные препараты']"""
"Malaria,""['Противомалярийные препараты', 'Жаропонижающие', 'Противорвотные средства', 'Внутривенные жидкости', 'Переливание крови']"""
"Chicken pox,""['Противовирусные препараты', 'Обезболивающие', 'Внутривенные жидкости', 'Переливание крови', 'Переливание тромбоцитов']"""
"Dengue,""['Антибиотики', 'Жаропонижающие', 'Обезболивающие', 'Внутривенные жидкости', 'Кортикостероиды']"""
"Typhoid,""['Вакцинация', 'Противовирусные препараты', 'Внутривенные жидкости', 'Переливание крови', 'Пересадка печени']"""
"hepatitis A,""['Вакцинация', 'Противовирусные препараты', 'Внутривенные жидкости', 'Переливание крови', 'Пересадка печени']"""
"Hepatitis B,""['Противовирусные препараты', 'Внутривенные жидкости', 'Переливание крови', 'Переливание тромбоцитов', 'Пересадка печени']"""
