Disease,Workout
Fungal infection, "['Избегать сахаристых продуктов', 'Принимать пробиотики', 'Увеличить потребление чеснока', 'Включать йогурт в рацион', 'Ограничить обработанные продукты', 'Соблюдать водный баланс', 'Пить зеленый чай', 'Есть продукты богатые цинком', 'Включать куркуму в рацион', 'Есть фрукты и овощи']"  
Allergy, "['Избегать аллергенных продуктов', 'Употреблять противовоспалительные продукты', 'Включать омега-3 жирные кислоты', 'Соблюдать водный баланс', 'Есть продукты богатые витамином C', 'Включать продукты богатые кверцетином', 'Употреблять местный мед', 'Ограничить обработанные продукты', 'Включать имбирь в рацион', 'Избегать искусственных добавок']"  
GERD, "['Питаться небольшими порциями', 'Избегать острую и жирную пищу', 'Употреблять продукты с высоким содержанием клетчатки', 'Ограничить кофеин и алкоголь', 'Тщательно пережевывать пищу', 'Избегать поздних приемов пищи', 'Употреблять нецитрусовые фрукты', 'Включать нежирные белки', 'Соблюдать водный баланс', 'Избегать газированных напитков']"  
Chronic cholestasis, "['Придерживаться диеты с низким содержанием жиров', 'Употреблять продукты с высоким содержанием клетчатки', 'Включать полезные жиры', 'Ограничить потребление алкоголя', 'Соблюдать водный баланс', 'Употреблять продукты богатые антиоксидантами', 'Включать омега-3 жирные кислоты', 'Включать нежирные белки', 'Ограничить обработанные продукты', 'Избегать жареной пищи']"  
Drug Reaction, "['Прекратить прием провоцирующего лекарства', 'Соблюдать водный баланс', 'Включать противовоспалительные продукты', 'Употреблять антиоксиданты', 'Избегать триггерных продуктов', 'Включать омега-3 жирные кислоты', 'Ограничить кофеин и алкоголь', 'Соблюдать водный баланс', 'Придерживаться сбалансированного питания', 'Консультироваться с врачом']"  
Peptic ulcer disease, "['Питаться небольшими порциями', 'Избегать острую и кислую пищу', 'Включать продукты с высоким содержанием клетчатки', 'Ограничить кофеин и алкоголь', 'Соблюдать водный баланс', 'Принимать пробиотики', 'Включать нежирные белки', 'Употреблять продукты богатые антиоксидантами', 'Ограничить обработанные продукты', 'Избегать курения и алкоголя']"  
AIDS, "['Придерживаться сбалансированной и питательной диеты', 'Включать нежирные белки', 'Употреблять богатые питательными веществами продукты', 'Соблюдать водный баланс', 'Включать полезные жиры', 'Избегать сырых или недоваренных продуктов', 'Ограничить сахаристые продукты и напитки', 'Употреблять иммуностимулирующие продукты', 'Принимать назначенные добавки', 'Консультироваться с врачом']"  
Diabetes, "['Контролировать потребление углеводов', 'Питаться сбалансированно', 'Включать нежирные белки', 'Употреблять продукты с высоким содержанием клетчатки', 'Соблюдать водный баланс', 'Ограничить сахаристые продукты и напитки', 'Включать полезные жиры', 'Мониторить уровень сахара в крови', 'Консультироваться с диетологом', 'Принимать лекарства по назначению']"  
Gastroenteritis, "['Соблюдать водный баланс', 'Употреблять прозрачные жидкости', 'Следовать диете BRAT (бананы-рис-яблочное пюре-тосты)', 'Включать мягкие продукты', 'Избегать жирной и жареной пищи', 'Ограничить кофеин и алкоголь', 'Избегать острой пищи', 'Консультироваться с врачом', 'Постепенно возвращать твердую пищу', 'Избегать молочных продуктов']"  
Bronchial Asthma, "['Включать противовоспалительные продукты', 'Употреблять омега-3 жирные кислоты', 'Ограничить потребление натрия', 'Соблюдать водный баланс', 'Включать продукты богатые антиоксидантами', 'Избегать продуктов с сульфитами', 'Ограничить обработанные продукты', 'Употреблять продукты богатые магнием', 'Консультироваться с врачом', 'Избегать триггерных продуктов']"  
Hypertension, "['Следовать диете DASH (Dietary Approaches to Stop Hypertension)', 'Ограничить потребление натрия', 'Включать продукты богатые калием', 'Соблюдать водный баланс', 'Употреблять продукты богатые кальцием', 'Ограничить потребление алкоголя', 'Включать продукты богатые магнием', 'Употреблять омега-3 жирные кислоты', 'Ограничить обработанные продукты', 'Консультироваться с врачом']"  
Migraine, "['Выявлять и избегать триггерных продуктов', 'Соблюдать водный баланс', 'Включать продукты богатые магнием', 'Употреблять омега-3 жирные кислоты', 'Ограничить кофеин и алкоголь', 'Употреблять продукты богатые рибофлавином', 'Ограничить обработанные продукты', 'Соблюдать режим питания', 'Консультироваться с врачом', 'Управлять стрессом']"  
Cervical spondylosis, "['Включать противовоспалительные продукты', 'Употреблять омега-3 жирные кислоты', 'Включать продукты богатые витамином D', 'Соблюдать водный баланс', 'Употреблять продукты богатые антиоксидантами', 'Ограничить обработанные продукты', 'Включать нежирные белки', 'Соблюдать правильную осанку', 'Консультироваться с врачом', 'Регулярно заниматься физической активностью']"  
Paralysis (brain hemorrhage), "['Придерживаться сбалансированной и питательной диеты', 'Включать нежирные белки', 'Употреблять богатые питательными веществами продукты', 'Соблюдать водный баланс', 'Включать полезные жиры', 'Ограничить сахаристые продукты и напитки', 'Включать антиоксиданты', 'Употреблять продукты богатые витамином K', 'Консультироваться с врачом', 'Управлять стрессом']"  
Jaundice, "['Соблюдать водный баланс', 'Употреблять богатые питательными веществами продукты', 'Включать белковые продукты', 'Употреблять легкоусвояемую пищу', 'Ограничить жирные продукты', 'Избегать алкоголя и кофеина', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Malaria, "['Соблюдать водный баланс', 'Употреблять богатые питательными веществами продукты', 'Включать белковые продукты', 'Употреблять продукты богатые антиоксидантами', 'Ограничить жирную и жареную пищу', 'Избегать алкоголя и кофеина', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Chicken pox, "['Соблюдать водный баланс', 'Включать легкоусвояемую пищу', 'Включать продукты богатые витамином C', 'Употреблять белковые продукты', 'Включать продукты, богатые цинком', 'Избегать острой и кислой пищи', 'Консультироваться с врачом', 'Соблюдать гигиену', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Dengue, "['Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Употреблять продукты богатые витамином C и антиоксидантами', 'Ограничить жирную и жареную пищу', 'Избегать кофеина и алкоголя', 'Включать мягкую и легкоусвояемую пищу', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону', 'Следовать медицинским рекомендациям']"  
Typhoid, "['Употреблять легкоусвояемую пищу', 'Соблюдать водный баланс', 'Включать богатые питательными веществами продукты', 'Употреблять продукты богатые витамином C и антиоксидантами', 'Включать белковые продукты', 'Ограничить жирную и жареную пищу', 'Консультироваться с врачом', 'Постепенно возвращаться к обычному рациону', 'Следовать медицинским рекомендациям', 'Избегать алкоголя и кофеина']"  
Hepatitis A, "['Соблюдать водный баланс', 'Употреблять богатые питательными веществами продукты', 'Включать белковые продукты', 'Употреблять легкоусвояемую пищу', 'Ограничить жирные продукты', 'Избегать алкоголя и кофеина', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Hepatitis B, "['Придерживаться сбалансированной и питательной диеты', 'Соблюдать водный баланс', 'Включать белковые продукты', 'Употреблять богатые питательными веществами продукты', 'Ограничить жирные продукты', 'Избегать алкоголя и кофеина', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
Hepatitis C, "['Придерживаться сбалансированной и питательной диеты', 'Соблюдать водный баланс', 'Включать белковые продукты', 'Употреблять богатые питательными веществами продукты', 'Ограничить жирные продукты', 'Избегать алкоголя и кофеина', 'Включать продукты богатые витамином C', 'Консультироваться с врачом', 'Отдыхать и сохранять энергию', 'Постепенно возвращаться к обычному рациону']"  
